timestamp,date,style,ticker,signal,event,price,entry,stop,tp1,tp2,tp3,gain_pct,trade_id
2026-07-07T00:02:48+07:00,2026-07-07,Swing Trading,BSML,BUY,SL,502,525,502,571,,,-4.34,Swing Trading::BSML::20260706233809
2026-07-07T00:02:48+07:00,2026-07-07,Swing Trading,DGIK,BUY,OPEN,122,122,119,127,129,143,0.0,Swing Trading::DGIK::20260707000248
2026-07-07T00:02:48+07:00,2026-07-07,Swing Trading,TUGU,BUY,OPEN,1205,1205,1164,1275,1300,1310,0.0,Swing Trading::TUGU::20260707000248
2026-07-07T00:02:48+07:00,2026-07-07,Swing Trading,CLAY,BUY,OPEN,2700,2700,2600,2850,2900,2900,0.0,Swing Trading::CLAY::20260707000248
2026-07-07T00:02:48+07:00,2026-07-07,Swing Trading,MPRO,BUY,OPEN,9000,9000,8358,10285,10775,10800,0.0,Swing Trading::MPRO::20260707000248
2026-07-07T01:50:10+07:00,2026-07-07,Long Term,JTPE,BUY,OPEN,610,610,554,721,735,,0.0,Long Term::JTPE::20260707015010
2026-07-07T09:00:45+07:00,2026-07-07,Swing Trading,DGIK,BUY,TP1,127,122,122,127,129,143,4.1,Swing Trading::DGIK::20260707000248
2026-07-07T09:00:45+07:00,2026-07-07,Swing Trading,CLAY,BUY,SL,2600,2700,2600,2850,2900,2900,-3.7,Swing Trading::CLAY::20260707000248
2026-07-07T09:00:45+07:00,2026-07-07,Swing Trading,SOSS,STRONG_BUY,OPEN,835,835,806,893,970,1060,0.0,Swing Trading::SOSS::20260707090045
2026-07-07T09:11:53+07:00,2026-07-07,Intraday,INDF,BUY,SL,6861,6900,6861,6975,7025,7050,-0.57,Intraday::INDF::20260703111313
2026-07-07T09:11:53+07:00,2026-07-07,Intraday,BSML,BUY,OPEN,510,510,500,530,,,0.0,Intraday::BSML::20260707091153
2026-07-07T09:11:53+07:00,2026-07-07,Intraday,CASA,BUY,OPEN,1800,1800,1789,1821,1890,2000,0.0,Intraday::CASA::20260707091153
2026-07-07T09:22:41+07:00,2026-07-07,Long Term,DCII,BUY,TP1,192681,180500,180500,192681,210900,226150,6.75,Long Term::DCII::20260702022406
2026-07-07T09:22:41+07:00,2026-07-07,Long Term,PTPW,BUY,OPEN,1180,1180,1100,1340,1530,1725,0.0,Long Term::PTPW::20260707092241
2026-07-07T09:22:41+07:00,2026-07-07,Long Term,ADMG,BUY,OPEN,200,200,184,232,234,246,0.0,Long Term::ADMG::20260707092241
2026-07-07T09:33:45+07:00,2026-07-07,Swing Trading,NEST,BUY,OPEN,620,620,582,696,,,0.0,Swing Trading::NEST::20260707093345
2026-07-07T09:33:45+07:00,2026-07-07,Swing Trading,BDMN,BUY,OPEN,3840,3840,3667,4187,4290,4800,0.0,Swing Trading::BDMN::20260707093345
2026-07-07T09:44:54+07:00,2026-07-07,Intraday,BSML,BUY,SL,500,510,500,530,,,-1.99,Intraday::BSML::20260707091153
2026-07-07T09:44:54+07:00,2026-07-07,Intraday,SAME,BUY,OPEN,336,336,332,344,346,348,0.0,Intraday::SAME::20260707094454
2026-07-07T10:06:44+07:00,2026-07-07,Swing Trading,SINI,BUY,OPEN,9975,9975,9160,11605,13000,16500,0.0,Swing Trading::SINI::20260707100644
2026-07-07T10:06:44+07:00,2026-07-07,Swing Trading,FAPA,BUY,OPEN,7400,7400,7349,7502,,,0.0,Swing Trading::FAPA::20260707100644
2026-07-07T10:17:55+07:00,2026-07-07,Intraday,GGRM,BUY,OPEN,16500,16500,16282,16850,16875,17000,0.0,Intraday::GGRM::20260707101755
2026-07-07T10:17:55+07:00,2026-07-07,Intraday,SGER,BUY,OPEN,400,400,388,424,426,434,0.0,Intraday::SGER::20260707101755
2026-07-07T10:17:55+07:00,2026-07-07,Intraday,HATM,BUY,OPEN,408,408,390,445,,,0.0,Intraday::HATM::20260707101755
2026-07-07T10:50:54+07:00,2026-07-07,Intraday,SAME,BUY,SL,332,336,332,344,346,348,-1.23,Intraday::SAME::20260707094454
2026-07-07T11:12:45+07:00,2026-07-07,Swing Trading,DGIK,BUY,SL,122,122,122,127,129,143,0.0,Swing Trading::DGIK::20260707000248
2026-07-07T11:12:45+07:00,2026-07-07,Swing Trading,JRPT,STRONG_BUY,OPEN,1075,1075,1067,1090,1100,1110,0.0,Swing Trading::JRPT::20260707111245
2026-07-07T11:23:53+07:00,2026-07-07,Intraday,NEST,BUY,OPEN,610,610,596,638,,,0.0,Intraday::NEST::20260707112353
2026-07-07T11:23:53+07:00,2026-07-07,Intraday,TRUS,BUY,OPEN,550,550,499,652,660,740,0.0,Intraday::TRUS::20260707112353
2026-07-07T11:45:43+07:00,2026-07-07,Swing Trading,DNET,BUY,OPEN,9475,9475,9203,9900,9925,9950,0.0,Swing Trading::DNET::20260707114543
2026-07-07T11:56:54+07:00,2026-07-07,Intraday,GGRM,BUY,TP1,16850,16500,16500,16850,16875,17000,2.12,Intraday::GGRM::20260707101755
2026-07-07T11:56:54+07:00,2026-07-07,Intraday,GGRM,BUY,TP2,16875,16500,16850,16850,16875,17000,2.27,Intraday::GGRM::20260707101755
2026-07-07T13:52:54+07:00,2026-07-07,Intraday,GGRM,BUY,SL,16850,16500,16850,16850,16875,17000,2.12,Intraday::GGRM::20260707101755
2026-07-07T14:29:22+07:00,2026-07-07,Intraday,BIRD,BUY,TP3,1560,1485,1501,1501,1530,1560,5.05,Intraday::BIRD::20260702022348
2026-07-07T14:51:53+07:00,2026-07-07,Swing Trading,ELPI,STRONG_BUY,OPEN,1140,1140,1030,1310,1790,2030,0.0,Swing Trading::ELPI::20260707145153
2026-07-07T15:14:40+07:00,2026-07-07,Long Term,SSIA,BUY,OPEN,1540,1540,1479,1662,1930,1975,0.0,Long Term::SSIA::20260707151440
2026-07-07T15:25:52+07:00,2026-07-07,Swing Trading,TRIM,BUY,OPEN,555,555,522,610,630,645,0.0,Swing Trading::TRIM::20260707152552
